_id,Term,First Name,Last Name,Committee,MTG #,Session Date,Session Type,Session Start-End Time,Present
1,2022-2026,Calvin,Mayfield,Executive Committee,3,2023-03-03,Morning,12:59AM - 07:17PM,Y
2,2022-2026,Calvin,Mayfield,Audit Committee,2,2022-09-16,Evening,01:15AM - 12:01AM,N
3,2022-2026,Sulaimaan,el-Faraj,Audit Committee,3,2022-05-27,Morning,12:59AM - 07:17PM,Y
4,2022-2026,Kellyn,Trujillo,Audit Committee,1,2024-02-07,Afternoon,01:15AM - 12:01AM,N
5,2022-2026,Calvin,Mayfield,Audit Committee,2,2024-04-02,Afternoon,07:18PM - 11:24PM,Y
6,2022-2026,Calvin,Mayfield,Audit Committee,2,2022-11-02,Afternoon,07:18PM - 11:24PM,Y
7,2022-2026,Sulaimaan,el-Faraj,City Council,3,2022-07-23,Evening,12:59AM - 07:17PM,Y
8,2022-2026,Brianna,Park,Executive Committee,4,2024-02-07,Afternoon,07:58PM - 05:16AM,N
9,2022-2026,Brianna,Park,Audit Committee,4,2022-11-02,Morning,07:18PM - 11:24PM,Y
10,2022-2026,Calvin,Mayfield,City Council,1,2024-10-01,Afternoon,01:15AM - 12:01AM,Y
11,2022-2026,Austin,Lorenzen,Toronto Parking Authority,2,2022-09-16,Evening,07:18AM - 06:58AM,N
12,2022-2026,Kellyn,Trujillo,Executive Committee,3,2022-07-23,Morning,08:01PM - 07:37AM,N
13,2022-2026,Neil,Leclaire,Executive Committee,3,2023-02-03,Afternoon,07:58PM - 05:16AM,Y
14,2022-2026,Tamanna,al-Gaber,Audit Committee,4,2022-06-23,Morning,04:22AM - 02:56AM,Y
15,2022-2026,Sulaimaan,el-Faraj,CreateTO,2,2022-09-02,Morning,12:13AM - 02:07AM,Y
16,2022-2026,Kellyn,Trujillo,Toronto Parking Authority,1,2022-07-16,Morning,12:59AM - 07:17PM,N
17,2022-2026,Kellyn,Trujillo,CreateTO,4,2024-12-01,Morning,12:59AM - 07:17PM,Y
18,2022-2026,Tamanna,al-Gaber,CreateTO,2,2024-02-07,Evening,01:15AM - 12:01AM,Y
19,2022-2026,Khiry,Archer,City Council,4,2024-10-01,Afternoon,04:22AM - 02:56AM,Y
20,2022-2026,Sajiyya,al-Jabbar,Audit Committee,4,2024-07-04,Afternoon,07:18AM - 06:58AM,Y
21,2022-2026,Sajiyya,al-Jabbar,Toronto Parking Authority,3,2022-09-16,Morning,12:59AM - 07:17PM,N
